geo_code,population,population_density_div10K,male,young,middle_age,drinking_age,population_age_avg_div100,single,family_size_avg_div10,market_income_avg_div100K,East_Asian,Southeast_Asian,West_Asian,Black,Latin_American,Aboriginal,dwelling_ownership,dwelling_value_avg_div1M,rent_price_avg_div_1K,secondary_education,postsecondary_education,in_labor_force_pct,Unemployment_rate
59010002,320,NULL,0.47,0.33,0.19,0.80,0.37,0.49,0.28,0.32,0.03,0.06,0.00,0.00,0.00,0.34,0.64,NULL,NULL,0.26,0.55,0.79,0.07
59010003,140,NULL,0.50,0.18,0.14,0.79,0.41,0.52,0.26,NULL,0.00,0.00,0.00,0.00,0.00,0.79,0.67,NULL,NULL,0.30,0.43,0.56,0.00
59010009,10470,0.05,0.48,0.17,0.16,0.56,0.45,0.43,0.27,0.41,0.03,0.01,0.01,0.01,0.00,0.10,0.68,0.30,0.88,0.33,0.50,0.61,0.09
59050001,12080,NULL,0.50,0.09,0.15,0.53,0.50,0.38,0.25,0.30,0.01,0.01,0.00,0.01,0.00,0.08,0.85,0.30,0.81,0.30,0.50,0.50,0.08
59050003,7710,0.02,0.48,0.16,0.15,0.55,0.47,0.46,0.26,0.40,0.01,0.01,0.01,0.01,0.00,0.10,0.68,0.22,0.74,0.29,0.51,0.53,0.10
59070001,9565,NULL,0.51,0.11,0.13,0.53,0.51,0.37,0.25,0.33,0.01,0.01,0.04,0.00,0.00,0.10,0.79,0.30,0.80,0.31,0.45,0.50,0.09
59070002,7890,NULL,0.50,0.09,0.16,0.60,0.49,0.30,0.26,0.45,0.01,0.00,0.00,0.00,0.00,0.07,0.87,0.53,1.08,0.29,0.56,0.57,0.07
59070004,11615,0.02,0.47,0.11,0.14,0.53,0.50,0.36,0.26,0.40,0.01,0.01,0.02,0.00,0.00,0.07,0.82,0.49,1.07,0.29,0.57,0.56,0.08
59070005,1785,NULL,0.48,0.10,0.13,0.82,0.51,0.39,0.26,0.28,0.01,0.00,0.00,0.01,0.00,0.36,0.88,NULL,NULL,0.30,0.45,0.39,0.13
59090033,185,NULL,0.51,0.22,0.16,0.56,0.30,0.63,0.34,NULL,0.05,0.00,0.00,0.00,0.00,0.97,0.70,NULL,NULL,0.20,0.40,0.42,0.20
59090037,295,0.02,0.51,0.15,0.15,0.78,0.44,0.47,0.26,0.25,0.00,0.00,0.00,0.00,0.00,0.37,0.81,NULL,NULL,0.29,0.39,0.49,0.08
59090038,130,0.01,0.50,0.27,0.19,0.62,0.30,0.65,0.38,NULL,0.00,0.00,0.00,0.00,0.00,1.00,0.57,NULL,NULL,0.29,0.41,0.53,0.22
59090052,7345,0.15,0.50,0.17,0.20,0.58,0.40,0.37,0.29,0.40,0.01,0.01,0.01,0.01,0.01,0.09,0.85,0.39,1.19,0.33,0.47,0.65,0.07
59090053,7335,0.30,0.50,0.21,0.19,0.60,0.38,0.33,0.31,0.31,0.03,0.01,0.65,0.00,0.00,0.02,0.76,0.59,0.92,0.34,0.37,0.66,0.10
59090062,5440,0.25,0.45,0.20,0.15,0.54,0.49,0.54,0.25,0.32,0.03,0.05,0.08,0.01,0.01,0.08,0.60,0.23,0.91,0.16,0.47,0.54,0.08
59090063,135,0.01,0.59,0.22,0.19,0.65,0.31,0.58,0.29,NULL,0.07,0.00,0.00,0.00,0.00,0.93,0.60,NULL,NULL,0.37,0.26,0.32,0.00
59090071,12020,0.18,0.48,0.18,0.20,0.60,0.40,0.34,0.29,0.57,0.05,0.01,0.09,0.01,0.01,0.05,0.87,0.62,1.21,0.32,0.55,0.68,0.04
59090084,11035,0.29,0.49,0.19,0.20,0.59,0.38,0.40,0.29,0.41,0.03,0.02,0.03,0.01,0.00,0.07,0.74,0.40,1.11,0.34,0.51,0.68,0.06
59090085,4915,NULL,0.52,0.13,0.17,0.60,0.46,0.36,0.27,0.42,0.02,0.01,0.01,0.01,0.00,0.06,0.88,0.48,0.98,0.21,0.47,0.59,0.05
59090087,11220,0.21,0.47,0.17,0.16,0.53,0.46,0.39,0.27,0.32,0.03,0.03,0.21,0.01,0.00,0.05,0.79,0.33,1.01,0.34,0.45,0.57,0.08
59150003,9885,0.02,0.49,0.11,0.16,0.77,0.46,0.32,0.29,1.09,0.13,0.01,0.06,0.00,0.01,0.01,0.88,2.28,2.24,0.09,0.69,0.59,0.06
59150005,4915,0.02,0.49,0.14,0.20,0.75,0.42,0.36,0.3,0.91,0.32,0.02,0.17,0.00,0.00,0.01,0.84,2.89,2.78,0.21,0.71,0.57,0.05
59150008,5240,0.03,0.50,0.14,0.20,0.75,0.42,0.34,0.3,0.85,0.10,0.02,0.11,0.01,0.00,0.03,0.82,1.80,2.00,0.20,0.69,0.66,0.05
59150009,5835,0.12,0.47,0.13,0.23,0.71,0.42,0.37,0.3,0.59,0.11,0.03,0.07,0.01,0.01,0.03,0.84,1.12,1.58,0.14,0.64,0.69,0.04
59150017,2930,0.17,0.48,0.21,0.22,0.82,0.42,0.52,0.27,0.31,0.07,0.01,0.26,0.01,0.00,0.35,0.27,NULL,NULL,0.23,0.62,0.56,0.13
59150021,20195,NULL,0.48,0.28,0.19,0.74,0.36,0.47,0.29,0.60,0.38,0.02,0.08,0.00,0.02,0.01,0.55,1.43,1.75,0.26,0.51,0.54,0.09
59150030,7305,0.25,0.49,0.22,0.24,0.81,0.41,0.45,0.28,0.53,0.05,0.09,0.08,0.00,0.01,0.03,0.54,0.96,1.36,0.15,0.66,0.74,0.05
59150038,5870,0.80,0.48,0.34,0.21,0.75,0.38,0.48,0.27,0.60,0.13,0.02,0.03,0.00,0.02,0.02,0.46,1.43,1.62,0.17,0.76,0.76,0.06
59150054,4980,0.31,0.49,0.22,0.22,0.81,0.45,0.61,0.27,0.40,0.33,0.05,0.03,0.02,0.01,0.09,0.31,0.99,0.83,0.15,0.48,0.59,0.08
59150057,13155,1.36,0.44,0.41,0.23,0.82,0.42,0.58,0.22,0.54,0.12,0.03,0.04,0.01,0.02,0.04,0.25,0.75,1.27,0.18,0.79,0.80,0.05
59150064,12555,0.29,0.47,0.22,0.20,0.82,0.43,0.46,0.29,0.75,0.34,0.04,0.05,0.01,0.01,0.01,0.62,2.29,1.55,0.10,0.72,0.66,0.06
59150067,5895,0.83,0.46,0.36,0.28,0.80,0.39,0.50,0.24,0.57,0.11,0.05,0.04,0.01,0.01,0.04,0.30,1.03,1.25,0.17,0.80,0.84,0.05
59150077,8065,0.62,0.48,0.23,0.21,0.69,0.42,0.49,0.29,0.42,0.40,0.10,0.03,0.01,0.02,0.04,0.62,1.27,1.11,0.28,0.53,0.66,0.05
59150083,9000,0.22,0.48,0.20,0.19,0.63,0.42,0.41,0.3,0.68,0.54,0.05,0.04,0.00,0.01,0.01,0.73,2.71,1.44,0.11,0.64,0.54,0.07
59150085,6110,0.48,0.48,0.22,0.18,0.66,0.43,0.52,0.29,0.31,0.50,0.13,0.05,0.00,0.02,0.04,0.50,1.36,1.04,0.17,0.40,0.57,0.07
59150090,8700,0.06,0.49,0.27,0.22,0.67,0.36,0.46,0.29,0.49,0.28,0.02,0.07,0.02,0.03,0.03,0.55,0.79,1.39,0.12,0.60,0.64,0.08
59150093,9935,0.49,0.48,0.22,0.19,0.67,0.42,0.46,0.29,0.39,0.61,0.07,0.04,0.00,0.01,0.01,0.64,2.00,1.26,0.29,0.58,0.58,0.07
59150095,8100,0.53,0.48,0.23,0.21,0.67,0.41,0.46,0.3,0.43,0.41,0.13,0.11,0.01,0.02,0.02,0.60,1.89,1.19,0.11,0.62,0.63,0.05
59150098,6960,0.70,0.49,0.22,0.23,0.79,0.40,0.47,0.3,0.39,0.30,0.24,0.11,0.01,0.02,0.03,0.59,1.34,1.21,0.29,0.53,0.70,0.06
59150099,7140,0.23,0.48,0.20,0.19,0.65,0.44,0.46,0.29,0.39,0.33,0.11,0.21,0.02,0.02,0.02,0.67,1.00,1.10,0.16,0.54,0.62,0.07
59150110,7305,0.53,0.50,0.28,0.26,0.88,0.41,0.59,0.26,0.35,0.24,0.17,0.05,0.03,0.02,0.04,0.11,0.47,0.99,0.31,0.61,0.73,0.07
59150111,5980,0.74,0.47,0.20,0.19,0.67,0.43,0.47,0.3,0.29,0.66,0.17,0.05,0.01,0.01,0.02,0.55,1.39,0.87,0.35,0.37,0.55,0.08
59150112,8615,0.78,0.49,0.23,0.20,0.65,0.41,0.46,0.31,0.31,0.34,0.19,0.32,0.00,0.03,0.02,0.57,1.44,1.04,0.31,0.43,0.63,0.06
59150114,9320,0.17,0.49,0.20,0.18,0.65,0.43,0.41,0.29,0.43,0.34,0.06,0.11,0.01,0.02,0.02,0.75,1.24,1.18,0.12,0.63,0.60,0.05
59150115,4945,0.30,0.47,0.16,0.22,0.63,0.41,0.34,0.29,0.58,0.76,0.02,0.02,0.01,0.01,0.01,0.89,1.30,1.69,0.16,0.58,0.52,0.07
59150119,9460,0.56,0.48,0.22,0.21,0.67,0.42,0.46,0.28,0.37,0.45,0.09,0.12,0.01,0.02,0.02,0.66,0.91,1.05,0.27,0.59,0.61,0.07
59150120,5255,0.78,0.49,0.22,0.20,0.79,0.41,0.51,0.3,0.30,0.54,0.16,0.08,0.01,0.03,0.02,0.53,1.28,0.98,0.21,0.48,0.63,0.07
59150121,7165,0.56,0.49,0.22,0.18,0.67,0.43,0.44,0.3,0.34,0.61,0.14,0.12,0.01,0.01,0.01,0.65,1.52,1.05,0.33,0.44,0.62,0.07
59150124,6825,0.30,0.49,0.16,0.21,0.64,0.40,0.35,0.31,0.49,0.41,0.04,0.15,0.00,0.01,0.01,0.89,1.00,1.44,0.14,0.61,0.60,0.04
59150125,12950,0.06,0.49,0.19,0.23,0.67,0.38,0.37,0.31,0.46,0.44,0.04,0.15,0.00,0.01,0.02,0.81,0.97,1.41,0.27,0.63,0.63,0.07
59150127,5485,0.59,0.50,0.21,0.18,0.61,0.42,0.43,0.3,0.37,0.57,0.17,0.12,0.01,0.01,0.01,0.71,1.68,1.19,0.15,0.50,0.58,0.07
