geo_name,geo_code,population,population_density_div10K,male,young,middle_age,drinking_age,population_age_avg_div100,single,family_size_avg_div10,market_income_avg_div100K,East_Asian,Southeast_Asian,West_Asian,Black,Latin_American,Aboriginal,dwelling_ownership,dwelling_value_avg_div1M,rent_price_avg_div_1K,secondary_education,postsecondary_education,in_labor_force_pct,Unemployment_rate
Elkford,5901003,2500,NULL,0.54,0.18,0.22,0.64,0.37,0.32,0.29,0.67,0.01,0.02,0.01,0.00,0.00,0.10,0.85,0.27,1.04,0.34,0.51,0.69,0.05
Sparwood,5901006,3785,NULL,0.52,0.19,0.20,0.65,0.39,0.33,0.28,0.59,0.01,0.01,0.02,0.02,0.00,0.10,0.75,0.27,0.87,0.24,0.49,0.69,0.06
Fernie,5901012,5250,0.04,0.50,0.22,0.23,0.66,0.39,0.34,0.28,0.57,0.01,0.01,0.00,0.00,0.00,0.06,0.73,0.49,1.02,0.17,0.67,0.74,0.07
East Kootenay A,5901017,1940,NULL,0.52,0.17,0.22,0.64,0.41,0.29,0.27,0.57,0.01,0.00,0.00,0.00,0.01,0.07,0.90,0.42,1.07,0.28,0.57,0.71,0.06
East Kootenay B,5901019,1975,NULL,0.54,0.13,0.18,0.63,0.46,0.31,0.26,0.49,0.01,0.01,0.00,0.00,0.00,0.09,0.86,0.47,0.78,0.34,0.50,0.57,0.07
Cranbrook,5901022,20045,0.06,0.49,0.17,0.18,0.57,0.43,0.41,0.27,0.42,0.02,0.01,0.01,0.01,0.00,0.09,0.73,0.30,0.91,0.32,0.51,0.63,0.08
Kimberley,5901028,7425,0.01,0.50,0.15,0.19,0.57,0.45,0.37,0.27,0.41,0.01,0.01,0.00,0.00,0.00,0.06,0.74,0.28,0.90,0.28,0.58,0.62,0.09
East Kootenay C,5901035,6035,NULL,0.51,0.12,0.18,0.61,0.45,0.30,0.27,0.51,0.01,0.00,0.00,0.01,0.00,0.09,0.91,0.51,0.79,0.19,0.56,0.62,0.07
East Kootenay E,5901037,1750,NULL,0.51,0.11,0.18,0.62,0.49,0.30,0.25,0.43,0.01,0.00,0.01,0.01,0.00,0.08,0.86,0.48,0.75,0.26,0.58,0.61,0.12
Invermere,5901039,3395,0.03,0.47,0.17,0.20,0.78,0.43,0.41,0.28,0.42,0.01,0.03,0.01,0.01,0.00,0.08,0.72,0.42,1.13,0.24,0.64,0.70,0.06
Radium Hot Springs,5901040,780,0.01,0.50,0.13,0.17,0.61,0.47,0.33,0.26,0.44,0.00,0.00,0.01,0.00,0.01,0.07,0.84,0.35,1.06,0.27,0.58,0.53,0.13
Canal Flats,5901043,665,0.01,0.54,0.14,0.19,0.60,0.43,0.33,0.27,0.44,0.01,0.01,0.00,0.00,0.00,0.09,0.87,0.23,0.69,0.37,0.31,0.62,0.07
East Kootenay F,5901046,2725,NULL,0.50,0.13,0.15,0.87,0.50,0.28,0.25,0.47,0.00,0.00,0.00,0.01,0.00,0.05,0.87,0.53,1.09,0.31,0.35,0.59,0.06
