date,javascript,java,csharp,python,php,android,jquery,html,cpp,css
2019-12-01 00:00:00,17059,11299,8322,24532,6794,8811,3196,7351,4957,4374
2019-11-01 00:00:00,18420,12562,9200,27528,7487,9443,3448,7770,5431,4631
2019-10-01 00:00:00,18601,13584,9577,27477,7495,9876,3547,7720,5567,4839
2019-09-01 00:00:00,16971,11758,8890,22941,6873,9242,3411,6952,4356,4448
2019-08-01 00:00:00,17394,10997,8693,24467,6967,9248,3417,7143,3755,4693
2019-07-01 00:00:00,18676,13147,9726,26943,8130,11011,4041,8266,4860,5012
2019-06-01 00:00:00,16962,11618,8679,23420,7311,9300,3458,7206,4191,4418
2019-05-01 00:00:00,18409,13481,10321,25364,8507,9744,3963,7953,4792,4882
2019-04-01 00:00:00,18506,13632,10453,26490,8860,9774,4244,8157,5161,4910
2019-03-01 00:00:00,19693,14510,10131,26088,9427,10620,4423,8785,5108,5425
2019-02-01 00:00:00,17800,12991,9513,22758,8744,9819,4038,7746,4283,4885
2019-01-01 00:00:00,17119,12335,9386,20940,8197,9258,3949,7561,4349,4823
2018-12-01 00:00:00,14488,10902,7696,18042,6656,7708,3376,6417,3811,3946
2018-11-01 00:00:00,16406,12264,8620,20539,7628,8720,3909,6903,4641,4285
2018-10-01 00:00:00,17608,13075,9462,20531,8685,9625,4324,7808,4570,4878
2018-09-01 00:00:00,16174,11254,8476,18269,8156,9147,4130,7141,3959,4654
2018-08-01 00:00:00,18061,11845,9625,20420,8996,9683,4844,7881,4142,5112
2018-07-01 00:00:00,17936,12280,9511,20446,9035,10265,4739,8253,4153,5215
2018-06-01 00:00:00,17325,12305,8894,19127,8935,9641,4609,7772,4345,5006
2018-05-01 00:00:00,18196,14001,10053,20021,9965,10256,5012,8408,4925,5229
2018-04-01 00:00:00,18088,13972,9346,19112,9399,10149,5121,8278,4905,5121
2018-03-01 00:00:00,19300,14053,9900,20259,10407,10915,5710,8881,5456,5430
2018-02-01 00:00:00,17359,12449,8679,18194,9630,9589,5316,7961,4821,5174
2018-01-01 00:00:00,19065,12795,9496,18146,10594,10360,6161,8621,4987,5589
2017-12-01 00:00:00,17095,12428,8719,16791,9562,10330,5736,8005,4678,5247
2017-11-01 00:00:00,19514,14692,9927,18945,11077,11133,6806,9416,5272,6079
2017-10-01 00:00:00,20012,14471,10349,19061,11312,10544,6949,9438,5463,6185
2017-09-01 00:00:00,19108,13179,10007,17379,11202,10740,6895,9034,4693,5716
2017-08-01 00:00:00,21497,14168,11084,18384,12152,12182,7939,10471,5032,6805
2017-07-01 00:00:00,21738,14643,11336,18835,12294,12635,8022,10591,5286,6899
2017-06-01 00:00:00,21718,15057,11454,17969,12306,11888,8239,10655,4933,6736
2017-05-01 00:00:00,22516,16807,12136,18025,13627,12360,8632,11165,5544,6934
2017-04-01 00:00:00,21381,16382,11243,17468,13005,12233,8248,10751,6146,6642
2017-03-01 00:00:00,23844,17766,13179,19161,14716,14178,9514,12111,6548,7814
2017-02-01 00:00:00,21302,14990,11640,16346,13064,12157,8511,10953,5442,7137
2017-01-01 00:00:00,21542,15126,11835,15575,13205,12996,8568,10769,5867,6998
2016-12-01 00:00:00,19916,14310,10826,14429,11996,11538,8255,9946,5483,6318
